index;state;date;country;recovered
6071;no;2020-02-14;Barbados;0.0
6072;no;2020-02-15;Madagascar;0.0
6073;no;2020-02-15;MS Zaandam;0.0
6074;no;2020-02-15;Luxembourg;0.0
6075;no;2020-02-15;Lithuania;0.0
6076;no;2020-02-15;Liechtenstein;0.0
6077;no;2020-02-15;Lesotho;0.0
6078;no;2020-02-15;Liberia;0.0
6079;no;2020-02-15;Lebanon;0.0
6080;no;2020-02-15;Latvia;0.0
6081;no;2020-02-15;Laos;0.0
6082;no;2020-02-15;Malawi;0.0
6083;no;2020-02-15;Libya;0.0
6084;no;2020-02-15;Malaysia;7.0
6085;no;2020-02-15;Monaco;0.0
6086;no;2020-02-15;Mali;0.0
6087;no;2020-02-15;Malta;0.0
6088;no;2020-02-15;Mauritania;0.0
6089;no;2020-02-15;Mauritius;0.0
6090;no;2020-02-15;Mexico;0.0
6091;no;2020-02-15;Moldova;0.0
6092;no;2020-02-15;Mongolia;0.0
6093;no;2020-02-15;Montenegro;0.0
6094;no;2020-02-15;Morocco;0.0
6095;no;2020-02-15;Mozambique;0.0
6096;no;2020-02-15;Namibia;0.0
6097;no;2020-02-15;Nepal;1.0
6098;no;2020-02-15;Netherlands;0.0
6099;no;2020-02-15;Maldives;0.0
6100;no;2020-02-15;Kyrgyzstan;0.0
6101;no;2020-02-15;Gabon;0.0
6102;no;2020-02-15;Kosovo;0.0
6103;no;2020-02-15;New Zealand;0.0
6104;no;2020-02-15;Gambia;0.0
6105;no;2020-02-15;Georgia;0.0
6106;no;2020-02-15;Germany;1.0
6107;no;2020-02-15;Ghana;0.0
6108;no;2020-02-15;Greece;0.0
6109;no;2020-02-15;Grenada;0.0
6110;no;2020-02-15;Guatemala;0.0
6111;no;2020-02-15;Guinea;0.0
6112;no;2020-02-15;Guinea-Bissau;0.0
6113;no;2020-02-15;Guyana;0.0
6114;no;2020-02-15;Haiti;0.0
6115;no;2020-02-15;Holy See;0.0
6116;no;2020-02-15;Honduras;0.0
6117;no;2020-02-15;Hungary;0.0
6118;no;2020-02-15;Iceland;0.0
6119;no;2020-02-15;India;0.0
6120;no;2020-02-15;Indonesia;0.0
6121;no;2020-02-15;Iran;0.0
6122;no;2020-02-15;Iraq;0.0
6123;no;2020-02-15;Ireland;0.0
6124;no;2020-02-15;Israel;0.0
6125;no;2020-02-15;Italy;0.0
6126;no;2020-02-15;Jamaica;0.0
6127;no;2020-02-15;Japan;12.0
6128;no;2020-02-15;Jordan;0.0
6129;no;2020-02-15;Kazakhstan;0.0
