doubling every 4 days;doubling every 10 days;doubling every 15 days;doubling every 20 days;India;US;Spain;Germany;United Kingdom;Korea, South;Japan;date
7036874417766400.0;34590108.176164925;492759.0547792353;58813.35577584816;;6200518.0;479554.0;246015.0;340929.0;17399.0;62658.0;184
8368301124988433.0;37072760.009473264;516063.6620369402;60887.40428813932;;6244970.0;488513.0;247411.0;342708.0;17665.0;63158.0;185
9951643238321520.0;39733600.361130215;540470.4402525777;63034.59396325975;;6276365.0;498989.0;248840.0;344686.0;17945.0;63888.0;186
1.183456494498067e+16;42585418.43808178;566031.5156348011;65257.504118746205;;6300622.0;498989.0;250283.0;346513.0;18265.0;64779.0;187
1.40737488355328e+16;45641921.372939855;592801.4796555788;67558.8050315722;;6327009.0;498989.0;251058.0;349500.0;18706.0;65653.0;188
1.6736602249976866e+16;48917800.10668492;620837.5056426589;69941.26114582502;;6360212.0;525549.0;251728.0;352451.0;19077.0;66499.0;189
1.990328647664304e+16;52428800.0;650199.4708861742;72407.73439350247;;6396100.0;534513.0;253626.0;354932.0;19400.0;67353.0;190
2.366912988996134e+16;56191796.51262286;680950.0845201714;74961.18763241605;;6443652.0;543379.0;254957.0;357613.0;19699.0;67958.0;191
2.81474976710656e+16;60224876.31446852;713155.0214521852;77604.68820533236;;6485123.0;554143.0;256433.0;360544.0;19947.0;68396.0;192
3.3473204499953732e+16;64547424.218377985;746883.0626268915;80341.41162462729;;6519573.0;566326.0;258149.0;364088.0;20182.0;69023.0;193
3.980657295328608e+16;69180216.35232985;782206.2419234134;83174.64538687847;;;566326.0;259735.0;367592.0;20449.0;69619.0;194
4.733825977992268e+16;74145520.01894653;819200.0;86107.79292198036;;;566326.0;260817.0;370930.0;20644.0;70278.0;195
5.62949953421312e+16;79467200.72226043;857943.3454146573;89144.37768152315;;;;261737.0;;20842.0;70866.0;196
